Number of Clusters,Silhouette Score
2,0.6524546053162847
3,0.5594827327510362
4,0.5556541744705353
5,0.35781379044009526
6,0.39908348955957273
7,0.4742558154762966
8,0.477599845634978
9,0.40744708050163997
10,0.3985401870287559
