Number of Clusters,Silhouette Score,FPC
2,0.21342467924335254,0.5455747558262076
3,0.23967835488700795,0.4855290331169866
4,0.2826290085848688,0.45848600206293605
5,0.21113092825377616,0.38098772067042497
6,0.20670812209447154,0.334418251324428
7,0.14313658772516533,0.3123406625932759
