Number of Clusters,Inertia
2,131366.543542493
3,78398.054030537
4,76751.08535984973
5,53799.88862720814
6,42816.5219457231
7,28709.315531503147
8,26089.698812928724
9,22518.9650430901
10,18635.149448642274
