Number of Clusters,Silhouette Score
2,0.31103630260251985
3,0.20077810525300846
4,0.2194889561962681
5,0.22242908610232007
6,0.2383915416070069
7,0.2273629763747879
8,0.21777683901115719
9,0.22382871624517228
10,0.22229955206358445
