Number of Clusters,Silhouette Score
2,0.31542745065470656
3,0.20606459593800505
4,0.17743137096584208
5,0.026665707434024865
6,0.011576423615967314
7,0.006970321774649305
8,0.0028342489631391398
9,-0.09860114878772283
10,-0.032765469324921956
