n_clusters,inertia_values,silhouette_scores
2,81152.66902651906,0.5576308160462999
3,78398.05403053694,0.5594827327510355
4,54624.278713877466,0.3575977306830091
5,53800.882127852965,0.35785401250015964
6,42813.762229119966,0.399173325570623
7,39313.07321327171,0.37104375533746864
8,26084.522709575198,0.4778063719888572
9,22519.36367036558,0.4073893518625251
10,18634.35836629537,0.398551227970696
